Circoscrizione;Fonte;Codice;Tipo;Nome/Localizzazione;Punteggio;Livello accessibilita
VII;OSM;VC_21;Via cittadina;VIA TETI – VIALE PRINCIPE DI SCALEA;41;Parzialmente accessibile
VII;stima;VC_22;Via cittadina;VIALE PRINCIPE DI SCALEA;44;Parzialmente accessibile
VII;OSM;VC_24;Via cittadina;VIALE IRIS;48;Parzialmente accessibile
VII;OSM;VC_25;Via cittadina;VIALE MARGHERITA DI SAVOIA;36;Accessibile
VII;OSM;VC_26;Via cittadina;VIA LUIGI BARBA – VIA BARISANO DA TRANI – VIA FILIPPO PALADINI – VIALE MICHELANGELO – VIA ACIREALE – VIA;46;Parzialmente accessibile
VIII;OSM;AV_04;Area verde;GIARDINO DELLE ROSE, VIA BRIGATA VERONA;33;Accessibile
VIII;stima;AV_08;Area verde;PIAZZA ALBERIGO GENTILI;39;Parzialmente accessibile
VIII;OSM;AV_09;Area verde;VILLA TRABIA, VIA SALINAS;40;Parzialmente accessibile
VIII;OSM;AV_13;Area verde;GIARDINO, PIAZZA LOLLI;39;Parzialmente accessibile
VIII;OSM;AV_14;Area verde;GIARDINO, PIAZZA IGNAZIO FLORIO;42;Parzialmente accessibile
VIII;OSM;AV_15;Area verde;GIARDINO, PIAZZA SANT’OLIVA;46;Parzialmente accessibile
VIII;stima;VS_10;Percorso storico;VIA CAVOUR - VIA FILIPPO PATTI;44;Parzialmente accessibile
VIII;OSM;VS_11;Percorso storico;VIA PRINCIPE DI BELMONTE;42;Parzialmente accessibile
VIII;OSM;VS_12;Percorso storico;VIA EMERICO AMARI;44;Parzialmente accessibile
VIII;OSM;VS_13;Percorso storico;VIA PRINCIPE DI SCORDIA – VIA DOMENICO SCINÀ;49;Parzialmente accessibile
VIII;OSM;VS_29;Percorso storico;VIA VOLTURNO - VIA SALESIO BALSANO - VIA VILLA FILIPPINA;54;Parzialmente accessibile
VIII;OSM;VS_30;Percorso storico;VIA PIGNATELLI ARAGONA;44;Parzialmente accessibile
VIII;OSM;VS_31;Percorso storico;VIA SANT’OLIVA – PIAZZA SAN FRANCESCO DI PAOLA;44;Parzialmente accessibile
VIII;OSM;VS_32;Percorso storico;VIA BRUNETTO LATINI;44;Parzialmente accessibile
VIII;OSM;VS_33;Percorso storico;VIA DOMENICO SCINA’ – VIA FILIPPO TURATI – VIA DANTE – VIA SERRADIFALCO – VIA ALESSIO NARBONE;41;Parzialmente accessibile
VIII;OSM;VS_34;Percorso storico;CORSO CAMILLO FINOCCHIARO APRILE – VIA GIUSEPPE WHITAKER – VIA IMERA;46;Parzialmente accessibile
VIII;OSM;VS_46;Percorso storico;VIA MONTALBO;46;Parzialmente accessibile
VIII;stima;VS_47;Percorso storico;VIA AMMIRAGLIO RIZZO – PIAZZA ACQUASANTA – VIA BELMONTE (S.S.113);50;Parzialmente accessibile
VIII;OSM;P_01;Piazza;PIAZZA CASTELNUOVO;35;Accessibile
VIII;stima;P_02;Piazza;PIAZZA VITTORIO EMANUELE ORLANDO;32;Accessibile
VIII;stima;VC_07;Via cittadina;VIA ARMANDO DIAZ – VIA MESSINA MARINE;47;Parzialmente accessibile
VIII;stima;VC_08;Via cittadina;VIA MARESCIALLO GUGLIELMO PECORI GIRALDI – VIA XXVII MAGGIO;44;Parzialmente accessibile
VIII;stima;VC_13;Via cittadina;VIA DELL’AUTONOMIA SICILIANA – VIA GIUSEPPE ALESSI – VIA MARIO RUTELLI – VIA GABRIELE D’ANNUNZIO;42;Parzialmente accessibile
VIII;OSM;VC_14;Via cittadina;VIA MONTEPELLEGRINO – VIA DEI CANTIERI – VIA DON ORIONE;43;Parzialmente accessibile
VIII;OSM;VC_15;Via cittadina;VIA ANWAR SADAT – VIA AMMIRAGLIO RIZZO;37;Accessibile
VIII;OSM;VC_36;Via cittadina;VIA MARCHESE DI VILLABIANCA;40;Parzialmente accessibile
VIII;stima;VC_37;Via cittadina;VIA G. LA FARINA;41;Parzialmente accessibile
VIII;OSM;VC_38;Via cittadina;VIALE LAZIO – VIA IMPERATORE FEDERICO;38;Accessibile
VIII;OSM;VC_39;Via cittadina;VIA SAMPOLO;50;Parzialmente accessibile
VIII;OSM;VC_40;Via cittadina;VIA PRINCIPE DI VILLAFRANCA – VIA PIERSANTI MATTARELLA – VIA GIACOMO LEOPARDI – VIA BORIS GIULIANO;41;Parzialmente accessibile
VIII;OSM;VC_41;Via cittadina;VIA TERRASANTA – VIA GIUSEPPE SCIUTI – VIA EMPEDOCLE RESTIVO – VIALE STRASBURGO;32;Accessibile
VIII;OSM;VC_44;Via cittadina;VIA DELLA LIBERTÀ – VIA DELLA CROCE ROSSA;38;Accessibile
VIII;OSM;VC_49;Via cittadina;VIA DAMIANI ALMEYDA;41;Parzialmente accessibile
Non determinata;;AV_17;Area verde;GIARDINO EX CASA DELLA MADRE E DEL BAMBINO “MARIA PIA DI SAVOIA” – VIA PAPIRETO;46;Parzialmente accessibile
Non determinata;;VS_24;Percorso storico;VIA DEL PONTICELLO - VIA PORTA DI CASTRO;61;Parzialmente accessibile
