Codice;Nome/Localizzazione;Gruppo;Categoria;Contesto urbano;Elemento;Circoscrizione;Fonte circoscrizione;Latitudine;Longitudine;Punteggio;Livello accessibilita;Rilevanza;Non valutabile;N. foto rilievo
S_23;SCUOLA AMARI;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA;;;;;38.1095381;13.3719922;70;Parzialmente inaccessibile;Alta;No;7
S_24;SCUOLA ROSOLINO PILO;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA;;;;;38.1031623;13.3643457;53;Parzialmente accessibile;Alta;No;7
S_25;SCUOLA OBERDAN;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA;;;;;;;73;Parzialmente inaccessibile;Alta;No;7
S_26;SCUOLA OBERDAN;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA;;;;;38.1000339;13.3725804;58;Parzialmente accessibile;Alta;No;4
S_27;SCUOLA ORESTANO;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA;;;;;38.0793516;13.408637;70;Parzialmente inaccessibile;Alta;No;7
S_28;SCUOLA CAVALLARI;Scuola;SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA;;;;;38.1078782;13.3714571;85;Inaccessibile;Alta;No;4
M_01;PALAZZO ZIINO;Museo;SERVIZI PUBBLICI – MUSEO;;;;;38.1240788;13.3517003;69;Parzialmente inaccessibile;Alta;No;10
M_02;GALLERIA D’ARTE MODERNA;Museo;SERVIZI PUBBLICI – MUSEO;;;;;38.1150762;13.3658349;77;Parzialmente inaccessibile;Alta;No;7
M_03;ARCHIVIO STORICO COMUNALE;Museo;SERVIZI PUBBLICI – MUSEO;;;;;38.113725;13.3635427;72;Parzialmente inaccessibile;Alta;No;7
SU_01;LA ZISA;Sito UNESCO (edificio);SERVIZI PUBBLICI – SITO UNESCO;;;;;38.1174592;13.3437755;93;Inaccessibile;Alta;No;7
SU_02;SAN CATALDO;Sito UNESCO (edificio);SERVIZI PUBBLICI – SITO UNESCO;;;;;38.1149189;13.3625335;78;Parzialmente inaccessibile;Alta;Si;7
SU_03;MARTORANA (SANTA MARIA DELL’AMMIRAGLIO);Sito UNESCO (edificio);SERVIZI PUBBLICI – SITO UNESCO;;;;;38.1149189;13.3625335;80;Parzialmente inaccessibile;Alta;Si;7
