Codice;Nome/Localizzazione;Gruppo;Categoria;Contesto urbano;Elemento;Circoscrizione;Fonte circoscrizione;Latitudine;Longitudine;Punteggio;Livello accessibilita;Rilevanza;Non valutabile;N. foto rilievo
VC_40;VIA PRINCIPE DI VILLAFRANCA – VIA PIERSANTI MATTARELLA – VIA GIACOMO LEOPARDI – VIA BORIS GIULIANO;Via cittadina;PERCORSI CITTADINI;AREA RESIDENZIALE;MARCIAPIEDE;VIII;OSM;38.1265633;13.3510724;41;Parzialmente accessibile;Alta;No;19
VC_41;VIA TERRASANTA – VIA GIUSEPPE SCIUTI – VIA EMPEDOCLE RESTIVO – VIALE STRASBURGO;Via cittadina;PERCORSI CITTADINI;ZONA RESIDENZIALE E ISTITUZIONALE;MARCIAPIEDE;VIII;OSM;38.1300172;13.3447437;32;Accessibile;Alta;No;13
VC_42;VIALE FRANCIA – VIA UGO LA MALFA;Via cittadina;PERCORSI CITTADINI;AREA COMMERCIALE E DIREZIONALE;MARCIAPIEDE;VI;OSM;38.1549578;13.3230181;44;Parzialmente accessibile;Alta;No;15
VC_43;VIA BELGIO – VIA MONTE SAN CALOGERO;Via cittadina;PERCORSI CITTADINI;RESIDENZIALE;MARCIAPIEDE;VI;OSM;38.1490574;13.3270326;39;Parzialmente accessibile;Alta;No;11
VC_44;VIA DELLA LIBERTÀ – VIA DELLA CROCE ROSSA;Via cittadina;PERCORSI CITTADINI;AREA RESIDENZIALE/COMMERCIALE;MARCIAPIEDE;VIII;OSM;38.1323098;13.350688;38;Accessibile;Alta;No;12
VC_45;VIA SALVATORE ALDISIO – VIA RESUTTANA – VIA CADUTI SENZA CROCE;Via cittadina;PERCORSI CITTADINI;RESIDENZIALE;MARCIAPIEDE;VI;OSM;38.1555645;13.3300872;35;Accessibile;Alta;No;10
VC_46;VIA ALCIDE DE GASPERI – VIALE DEL FANTE;Via cittadina;PERCORSI CITTADINI;ASSE RESIDENZIALE;MARCIAPIEDE;VI;OSM;38.1504703;13.3359204;34;Accessibile;Alta;No;16
VC_47;VIA ROSSA GUIDO – VIA DAMIANO LO GRECO – VIA DEL BASSOTTO – VIADOTTO CARLO PERRIER – VIA DELL’ORSA;Via cittadina;PERCORSI CITTADINI;RESIDENZIALE;MARCIAPIEDE;III;OSM;38.0821905;13.3602297;46;Parzialmente accessibile;Alta;No;20
VC_48;VIA DELL’ORSA MAGGIORE – VIA S. FILIPPO – VIA DELL’AIRONE – VIA GIUSEPPE MANIACI;Via cittadina;PERCORSI CITTADINI;PERIFERICO RESIDENZIALE;MARCIAPIEDE;III;OSM;38.0938026;13.3636273;46;Parzialmente accessibile;Alta;No;18
VC_49;VIA DAMIANI ALMEYDA;Via cittadina;PERCORSI CITTADINI;AREA RESIDENZIALE SEMICENTRALE;MARCIAPIEDE;VIII;OSM;38.1308301;13.3455672;41;Parzialmente accessibile;Alta;No;12
VC_50;VIA SAN CIRO;Via cittadina;PERCORSI CITTADINI;AREA RESIDENZIALE A TRAFFICO MEDIO;MARCIAPIEDE;II;OSM;38.0915693;13.3841626;44;Parzialmente accessibile;Alta;No;9
VC_51;VIA GIAN FILIPPO INGRASSIA;Via cittadina;PERCORSI CITTADINI;AREA RESIDENZIALE SEMICENTRALE A TRAFFICO MEDIO;MARCIAPIEDE;II;OSM;38.1095381;13.3719922;45;Parzialmente accessibile;Alta;No;9
VC_52;VIA PAOLO ORSI – VIA GIUSEPPE PARATORE;Via cittadina;PERCORSI CITTADINI;AREA RESIDENZIALE SEMICENTRALE A TRAFFICO MEDIO;MARCIAPIEDE;III;OSM;38.0943142;13.3744804;38;Accessibile;Alta;No;8
