Codice,Nome/Localizzazione,Gruppo,Categoria,Contesto urbano,Elemento,Latitudine,Longitudine,Indirizzo,Punteggio,Livello accessibilita,Rilevanza,Non valutabile,N. foto rilievo,Criticità Rilevate,Nome Immobile,Circoscrizione,Quartiere,UPL
U_11,SERVIZI EDUCATIVI,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - UFFICIO AMMINISTRATIVO COMUNALE (AREA DELL'ISTRUZIONE E FORMAZIONE),,,38.1329399,13.3457741,"Via Emanuele Notarbartolo, 21/A",68,Parzialmente inaccessibile,Alta,No,7,Rampa con pendenza eccessiva; ascensore non funzionante; sanitari non idonei; porte pesanti; totale assenza di segnalazioni sensoriali.,SERVIZI EDUCATIVI,VIII,Libertà,Notarbartolo - Giardino Inglese
VC_39,VIA SAMPOLO,Via cittadina,PERCORSI CITTADINI,ARTERIA DI COLLEGAMENTO,MARCIAPIEDE,38.1349732,13.3570685,,50,Parzialmente accessibile,Alta,No,8,,,VIII,Libertà,Marchese di Villabianca - Sampolo
VC_36,VIA MARCHESE DI VILLABIANCA,Via cittadina,PERCORSI CITTADINI,ASSE URBANO A PREVALENTE CARATTERE RESIDENZIALE,MARCIAPIEDE,38.1381441,13.3498518,,40,Parzialmente accessibile,Alta,No,17,,,VIII,Libertà,Marchese di Villabianca - Sampolo
S_08,SCUOLA TRIESTE,Scuola,SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA,,,38.1401308,13.3516598,"Via Sampolo, 63",73,Parzialmente inaccessibile,Alta,No,7,Sanitari non idonei; assenza maniglione antipanico; dislivello all'ingresso; assenza percorso tattile; porte non idonee.,SCUOLA TRIESTE,VIII,Libertà,Marchese di Villabianca - Sampolo
A_05,NIDO AQUILONE,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.1377195,13.3516283,"Via Maggiore Pietro Toselli, 85A",56,Parzialmente accessibile,Alta,No,7,Pavimentazione esterna sconnessa; citofono troppo alto; assenza di pavimentazione tattile e segnaletica per ipovedenti.,NIDO AQUILONE,VIII,Libertà,Marchese di Villabianca - Sampolo
VC_38,VIALE LAZIO – VIA IMPERATORE FEDERICO,Via cittadina,PERCORSI CITTADINI,ASSE URBANO COMMERCIALE,MARCIAPIEDE,38.1417416,13.3368797,,38,Accessibile,Alta,No,16,,,VIII,Libertà,Vittorio Veneto
S_06,SCUOLA GARZILLI,Scuola,SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA,,,38.1411941,13.3426842,"Via Isonzo, 7",76,Parzialmente inaccessibile,Alta,No,7,Mancanza rampa esterna; bagno disabili non presente; dislivelli interni; antico portone d'ingresso non adeguato; assenza segnaletica ipovedenti.,SCUOLA GARZILLI,VIII,Libertà,Vittorio Veneto
AV_04,"GIARDINO DELLE ROSE, VIA BRIGATA VERONA",Area verde,AREE URBANE,AMBITO RESIDENZIALE DI ESPANSIONE – AREA AD ALTA DENSITÀ DI TRAFFICO,PERCORSI INTERNI,38.14341684,13.34002683,"Via Brigata Verona, 13",33,Accessibile,Alta,No,4,,,VIII,Libertà,Vittorio Veneto
VS_12,VIA EMERICO AMARI,Percorso storico,PERCORSI STORICI,"ASSE VIARIO COMMERCIALE, PARZIALMENTE PEDONALIZZATO",MARCIAPIEDE,38.1253129,13.3581019,,44,Parzialmente accessibile,Alta,No,13,,,VIII,Politeama,Croci - Ruggiero Settimo
VS_11,VIA PRINCIPE DI BELMONTE,Percorso storico,PERCORSI STORICI,VIA PREVALENTEMENTE PEDONALIZZATA E COMMERCIALE,MARCIAPIEDE,38.1240754,13.3576852,,42,Parzialmente accessibile,Alta,No,13,,,VIII,Politeama,Croci - Ruggiero Settimo
VC_40,VIA PRINCIPE DI VILLAFRANCA – VIA PIERSANTI MATTARELLA – VIA GIACOMO LEOPARDI – VIA BORIS GIULIANO,Via cittadina,PERCORSI CITTADINI,AREA RESIDENZIALE,MARCIAPIEDE,38.1265633,13.3510724,,41,Parzialmente accessibile,Alta,No,19,,,VIII,Politeama,Croci - Ruggiero Settimo
S_16,SCUOLA POLITEAMA,Scuola,SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA,,,38.1244065,13.3539511,"P.za Castelnuovo, 40",69,Parzialmente inaccessibile,Alta,No,7,"Bagno disabili non conforme; presenza di gradini nei percorsi; assenza dispositivo richiesta assistenza, pavimentazione e percorso tattile.",SCUOLA POLITEAMA,VIII,Politeama,Croci - Ruggiero Settimo
S_13,SCUOLA RAPISARDI,Scuola,"SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA SECONDARIA, DI I GRADO, PRIMARIA",,,38.1285901,13.3494626,"Via Caltanissetta, 27",69,Parzialmente inaccessibile,Alta,No,7,Misure bagno non idonee; campanello troppo alto; fasce cromatiche confondenti; porta non idonea; assenza pavimentazione tattile.,SCUOLA RAPISARDI,VIII,Politeama,Croci - Ruggiero Settimo
S_10,SCUOLA GARIBALDI,Scuola,"SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA SECONDARIA, DI I GRADO, PRIMARIA",,,38.1317898,13.3547923,"Via delle Croci, 5",71,Parzialmente inaccessibile,Alta,No,7,Campanello troppo alto; maniglioni bagno assenti o insufficienti; presenza di gradini nei percorsi; indicazioni ipovedenti non chiare; assenza pavimentazione tattile.,SCUOLA GARIBALDI,VIII,Politeama,Croci - Ruggiero Settimo
P_01,PIAZZA CASTELNUOVO,Piazza,AREE URBANE,AREA RESIDENZIALE E COMMERCIALE,PIAZZA,38.12444135,13.35511518,P.za Castelnuovo,35,Accessibile,Alta,No,6,,,VIII,Politeama,Croci - Ruggiero Settimo
AV_14,"GIARDINO, PIAZZA IGNAZIO FLORIO",Area verde,AREE URBANE,AMBITO RESIDENZIALE,PERCORSI INTERNI,38.12487562,13.36011864,"P.za Ignazio Florio, 1",42,Parzialmente accessibile,Alta,No,4,,,VIII,Politeama,Borgo Vecchio - Principe Scordia
VS_33,VIA DOMENICO SCINA’ – VIA FILIPPO TURATI – VIA DANTE – VIA SERRADIFALCO – VIA ALESSIO NARBONE,Percorso storico,PERCORSI STORICI,STRADE INTERNE AD ALTA DENSITÀ,MARCIAPIEDE,38.1286159,13.3590659,,41,Parzialmente accessibile,Alta,No,18,,,VIII,Politeama,Borgo Vecchio - Principe Scordia
VS_13,VIA PRINCIPE DI SCORDIA – VIA DOMENICO SCINÀ,Percorso storico,PERCORSI STORICI,ARTERIE CENTRALI AD ALTO TRAFFICO,MARCIAPIEDE,38.1233452,13.3617238,,49,Parzialmente accessibile,Alta,No,12,,,VIII,Politeama,Borgo Vecchio - Principe Scordia
U_15,RAGIONERIA GENERALE,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - UFFICIO AMMINISTRATIVO COMUNALE (AREA DELLE RISORSE FINANZIARIE),,,38.1172778,13.3634032,"Via Roma, 209",65,Parzialmente inaccessibile,Alta,No,7,Parcheggi distanti; rampe interne ripide; pavimentazione scivolosa; assenza di maniglioni antipanico e guide tattili.,RAGIONERIA GENERALE,VIII,Politeama,Borgo Vecchio - Principe Scordia
VS_10,VIA CAVOUR - VIA FILIPPO PATTI,Percorso storico,PERCORSI STORICI,ASSE VIARIO DI COLLEGAMENTO,MARCIAPIEDE,38.12303462,13.36615883,,44,Parzialmente accessibile,Alta,No,14,,,VIII,Politeama,Borgo Vecchio - Principe Scordia
S_15,SCUOLA LA MASA,Scuola,SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA,,,38.125611,13.3619759,"V. Giuseppe La Masa, 17",78,Parzialmente inaccessibile,Alta,No,5,,,VIII,Politeama,Borgo Vecchio - Principe Scordia
VC_04,VIA BRANCACCIO – VIA SAN GIOVANNI DI DIO – VIALE AMEDEO D’AOSTA,Via cittadina,PERCORSI CITTADINI,ASSI URBANI DI COLLEGAMENTO/RESIDENZIALE,MARCIAPIEDE,38.1024448,13.3783766,,46,Parzialmente accessibile,Alta,No,16,,,II,Settecannoli,Settecannoli
VC_07,VIA ARMANDO DIAZ – VIA MESSINA MARINE,Via cittadina,PERCORSI CITTADINI,ASSE DI SCORRIMENTO/AREA PERIFERICA,MARCIAPIEDE,38.10275356,13.39490537,,47,Parzialmente accessibile,Alta,No,16,,,II,Settecannoli,Settecannoli
VC_05,VIA DEI PICCIOTTI – VIA SALVATORE CAPPELLO – VIA MESSINA MARINE,Via cittadina,PERCORSI CITTADINI,VIABILITÀ URBANA DI COLLEGAMENTO,MARCIAPIEDE,38.10475532,13.38290175,,37,Accessibile,Alta,No,18,,,II,Settecannoli,Settecannoli
VC_10,VIA MESSINA MARINE – VIA ANTONINO LAUDICINA,Via cittadina,PERCORSI CITTADINI,VIABILITÀ LOCALE,MARCIAPIEDE,38.0979185,13.4127941,,46,Parzialmente accessibile,Alta,No,12,,,II,Settecannoli,Roccella Acqua dei Corsari
VC_09,VIA XXVII MAGGIO – VIA MESSINA MARINE,Via cittadina,PERCORSI CITTADINI,VIABILITÀ URBANA LOCALE,MARCIAPIEDE,38.0963414,13.4041324,,37,Accessibile,Alta,No,16,,,II,Settecannoli,Roccella Acqua dei Corsari
VS_22,VIA  CIACULLI -CORSO DEI MILLE CROCEVERDE,Percorso storico,PERCORSI STORICI,ASSE VIARIO PERIFERICO,MARCIAPIEDE,38.0824974,13.3969218,,65,Parzialmente inaccessibile,Alta,No,17,,,II,Brancaccio-Ciaculli,Ciaculli Croce Verde
S_27,SCUOLA ORESTANO,Scuola,SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA,,,38.0944599,13.3846577,"Via Conte Federico, 3",70,Parzialmente inaccessibile,Alta,No,7,Gradini esterni e rampa assente per piano rialzato; campanello troppo alto; pavimentazione confondente; assenza dispositivi assistenza e pavimentazione tattile.,SCUOLA ORESTANO,II,Brancaccio-Ciaculli,Ciaculli Croce Verde
VC_50,VIA SAN CIRO,Via cittadina,PERCORSI CITTADINI,AREA RESIDENZIALE A TRAFFICO MEDIO,MARCIAPIEDE,38.0915693,13.3841626,,44,Parzialmente accessibile,Alta,No,9,,,II,Brancaccio-Ciaculli,Brancaccio Conte Federico
U_23,CIRCOSCRIZIONE II,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - SEDE ISTITUZIONALE E AMMINISTRATIVA CIRCOSCRIZIONALE,,,38.09488769,13.3831153,"Via San Ciro, 17",70,Parzialmente inaccessibile,Alta,No,7,Accesso principale con scale; rampa in metallo non ottimale; assenza di citofono; bagno per disabili non presente; mancanza di percorsi e segnalazioni tattili.,CIRCOSCRIZIONE II,II,Brancaccio-Ciaculli,Brancaccio Conte Federico
U_24,CIMITERO S.M. DI GESÙ,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - CIMITERO COMUNALE STATALE,,,38.0824471,13.3786753,"Salita Belvedere, 3",63,Parzialmente inaccessibile,Alta,No,7,Percorsi con scale e pendenze; dislivelli agli ingressi; guida tattile limitata; servizi igienici privi di ausili sufficienti.,CIMITERO S.M. DI GESÙ,III,Villagrazia-Falsomiele,Chiavelli - S.Maria di Gesù
VC_47,VIA ROSSA GUIDO – VIA DAMIANO LO GRECO – VIA DEL BASSOTTO – VIADOTTO CARLO PERRIER – VIA DELL’ORSA,Via cittadina,PERCORSI CITTADINI,RESIDENZIALE,MARCIAPIEDE,38.0821905,13.3602297,,46,Parzialmente accessibile,Alta,No,20,,,III,Villagrazia-Falsomiele,Bonagia
A_19,NIDO PELLICANO,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.0818479,13.3573299,"Via Rossa Guido, 8",57,Parzialmente accessibile,Alta,No,4,Citofono troppo alto; porta servizio igienico senza maniglione antipanico; assenza pavimentazione tattile.,NIDO PELLICANO,III,Villagrazia-Falsomiele,Bonagia
A_15,NIDO ERMELLINO,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.0865872,13.3645822,"Vle Nicolò Azoti, 35",59,Parzialmente accessibile,Alta,No,4,Citofono troppo alto; porta d'ingresso non idonea; pavimentazione interna usurata; assenza maniglione antipanico e insufficienza maniglioni nei bagni; assenza pavimentazione tattile.,NIDO ERMELLINO,III,Villagrazia-Falsomiele,Bonagia
VC_48,VIA DELL’ORSA MAGGIORE – VIA S. FILIPPO – VIA DELL’AIRONE – VIA GIUSEPPE MANIACI,Via cittadina,PERCORSI CITTADINI,PERIFERICO RESIDENZIALE,MARCIAPIEDE,38.0938026,13.3636273,,46,Parzialmente accessibile,Alta,No,18,,,III,Villagrazia-Falsomiele,Falsomiele Borgo Ulivia
A_17,NIDO ALLODOLA,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.0871078,13.3547959,"Via Giuseppe Maniaci, 36",57,Parzialmente accessibile,Alta,No,4,Assenza maniglione antipanico; rivestimento bagno senza contrasto cromatico; citofono non a norma; assenza pavimentazione tattile.,NIDO ALLODOLA,III,Villagrazia-Falsomiele,Falsomiele Borgo Ulivia
VU_02,CORSO CALATAFIMI – CORSO VITTORIO EMANUELE – PIAZZA DELLA VITTORIA – VIA DEL BASTIONE -,Percorso UNESCO,PERCORSI UNESCO,AREA STORICO-ISTITUZIONALE,MARCIAPIEDE,38.0962272,13.3134713,,50,Parzialmente accessibile,Alta,No,13,,,IV,Mezzomonreale -Villa Tasca,Mezzomonreale
VS_38,CORSO CALATAFIMI,Percorso storico,PERCORSI STORICI,VIALE PRINCIPALE,MARCIAPIEDE,38.0962272,13.3134713,,40,Parzialmente accessibile,Alta,No,19,,,IV,Mezzomonreale -Villa Tasca,Mezzomonreale
VC_03,VIA PARUTA,Via cittadina,PERCORSI CITTADINI,VIABILITÀ URBANA LOCALE /RESIDENZIALE,MARCIAPIEDE,38.0935489,13.3198958,,44,Parzialmente accessibile,Alta,No,14,,,IV,Mezzomonreale -Villa Tasca,Mezzomonreale
VC_02,CORSO CALATAFIMI,Via cittadina,PERCORSI CITTADINI,ASSE PRINCIPALE DI SCORRIMENTO URBANO/COMMERCIALE,MARCIAPIEDE,38.0962272,13.3134713,,34,Accessibile,Alta,No,19,,,IV,Mezzomonreale -Villa Tasca,Mezzomonreale
VC_01,VIA PORRAZZI - VIA RAFFAELE LA VALLE - VIA PALMERINO - VIA AGOSTINO CATALANO - CORSO PIETRO PISANI,Via cittadina,PERCORSI CITTADINI,ASSE URBANO RESIDENZIALE E DI SERVIZI CON VIABILITÀ SECONDARIA,MARCIAPIEDE,38.1035043,13.3339736,,42,Parzialmente accessibile,Alta,No,13,,,IV,Mezzomonreale -Villa Tasca,Villa Tasca
A_13,NIDO DRAGO,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.1051756,13.3314309,"Via Aurelio Drago, 42",54,Parzialmente accessibile,Alta,No,5,Citofono troppo alto; assenza indicazioni per ipovedenti; ostacoli sul percorso esterno; assenza di pavimentazione tattile.,NIDO DRAGO,IV,Mezzomonreale -Villa Tasca,Villa Tasca
S_20,SCUOLA BONANNO,Scuola,SERVIZI PUBBLICI – ISTRUZIONE – SCUOLA DELL’INFANZIA E PRIMARIA,,,38.1108078,13.3282019,"Via Giuseppe Pitrè, 183",77,Parzialmente inaccessibile,Alta,No,4,,,IV,Altarello,Altarello - Tasca Lanza
A_20,NIDO MASIH IQBAL,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.1237874,13.3149331,"Via Romualdo Salernitano, 45",66,Parzialmente inaccessibile,Alta,No,7,Percorso di accesso non accessibile; citofono troppo alto; bagni non fruibili per mancanza di maniglioni e porta non a norma; pavimentazione tattile assente; presenza di dislivelli.,NIDO MASIH IQBAL,V,Uditore-Passo Di Rigano,Leonardo da Vinci - Di Blasi
A_22,NIDO LIDIA TORNATORE,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.12653915,13.32541271,"Via Donato Bramante, 17",65,Parzialmente inaccessibile,Alta,No,4,Citofono troppo alto; porta ingresso non idonea; larghezza porte interne insufficiente; bagno disabili non presente; pavimentazione tattile assente; pavimentazione esterna sconnessa.,NIDO LIDIA TORNATORE,V,Uditore-Passo Di Rigano,Leonardo da Vinci - Di Blasi
VS_43,VIA DOGALI – VIA ROCCAZZO,Percorso storico,PERCORSI STORICI,ARTERIE INTERNE PERIFERICHE,MARCIAPIEDE,38.1248525,13.3128783,,37,Accessibile,Alta,No,12,,,V,Uditore-Passo Di Rigano,Passo di Rigano
AV_07,"GIARDINO PUBBLICO, VIALE MICHELANGELO",Area verde,AREE URBANE,AMBITO RESIDENZIALE DI PERIFERIA - ASSE DI SCORRIMENTO,PERCORSI INTERNI,38.13262662,13.30777273,"Viale Michelangelo, 2054",38,Accessibile,Bassa,No,7,,,V,Uditore-Passo Di Rigano,Passo di Rigano
A_14,NIDO TOM & JERRY,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.1266565,13.3082916,Viale Leonardo da Vinci,71,Parzialmente inaccessibile,Alta,No,7,Inadeguatezza dei servizi igienici (assenti o non fruibili); barriere nei sistemi di collegamento verticale e scale esterne prive di rampe; citofono troppo alto; pavimentazione sconnessa; assenza di informazioni per ipovedenti.,NIDO TOM & JERRY,V,Uditore-Passo Di Rigano,Passo di Rigano
A_07,NIDO FILASTROCCA,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.124993,13.3077569,"Via Tembien, 1",61,Parzialmente accessibile,Alta,No,7,Difficoltà di accostamento al citofono; maniglioni antipanico non contrastati cromaticamente; assenza maniglione nel servizio igienico; presenza di dislivelli e assenza pavimentazione tattile.,NIDO FILASTROCCA,V,Uditore-Passo Di Rigano,Passo di Rigano
VS_44,VIA UDITORE – PIAZZA CHIESA SANT’ALFONSO DEI LIGUORI – VIA MAMMANA,Percorso storico,PERCORSI STORICI,ARTERIE INTERNE PERIFERICHE,MARCIAPIEDE,38.1292352,13.3262857,,41,Parzialmente accessibile,Alta,No,14,,,V,Uditore-Passo Di Rigano,Uditore
VC_30,VIA UDITORE - VIA NAZARIO SAURO,Via cittadina,PERCORSI CITTADINI,RESIDENZIALE,MARCIAPIEDE,38.1292352,13.3262857,,48,Parzialmente accessibile,Alta,No,16,,,V,Uditore-Passo Di Rigano,Uditore
AV_06,"GIARDINO PUBBLICO, VIA TINDARI",Area verde,AREE URBANE,AMBITO RESIDENZIALE DI PERIFERIA,PERCORSI INTERNI,38.12899488,13.29510708,"Via Tindari, 70-72",54,Parzialmente accessibile,Bassa,No,7,,,V,Borgo Nuovo,Borgo Nuovo
A_18,NIDO PAPAVERO,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.13104,13.30169,"V. Acireale, 1",59,Parzialmente accessibile,Alta,No,4,Pavimentazione esterna e rampe sconnesse/non idonee; citofono non idoneo; assenza di maniglioni nei servizi; assenza segnalazione per ipovedenti.,NIDO PAPAVERO,V,Borgo Nuovo,Borgo Nuovo
U_12,CIRCOSCRIZIONE V P.D. BORGONUOVO,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - UFFICIO PUBBLICO DECENTRATO / SPORTELLO POLIFUNZIONALE,,,38.1283856,13.299314,"Largo Pozzillo, 7",63,Parzialmente inaccessibile,Alta,No,1,Accesso compromesso da dislivelli; rampa con pendenza eccessiva; pavimentazione sconnessa; assenza di indicazioni per ipovedenti; bagni non a norma.,CIRCOSCRIZIONE V BORGONUOVO,V,Borgo Nuovo,Borgo Nuovo
VC_26,VIA LUIGI BARBA – VIA BARISANO DA TRANI – VIA FILIPPO PALADINI – VIALE MICHELANGELO – VIA ACIREALE – VIA,Via cittadina,PERCORSI CITTADINI,VIABILITÀ URBANA DI QUARTIERE/RESIDENZIALE,MARCIAPIEDE,38.1368187,13.310955,,46,Parzialmente accessibile,Alta,No,12,,,VI,Cruillas - S.Giovanni Apostolo,San Giovanni Apostolo
AV_05,PIAZZA BENVENUTO CELLINI,Area verde,AREE URBANE,AMBITO RESIDENZIALE DI PERIFERIA,PERCORSI INTERNI,38.13720382,13.30947472,Piazza Benvenuto Cellini,47,Parzialmente accessibile,Bassa,No,7,,,VI,Cruillas - S.Giovanni Apostolo,San Giovanni Apostolo
A_06,NIDO PETER PAN,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.1359387,13.3108838,"Via Barisano da Trani, 5",58,Parzialmente accessibile,Alta,No,4,Citofono troppo alto; assenza di guida naturale/artificiale per ipovedenti; porta servizio igienico priva di maniglione antipanico; assenza di pavimentazione tattile.,NIDO PETER PAN,VI,Cruillas - S.Giovanni Apostolo,San Giovanni Apostolo
VS_45,VIA CRUILLAS – VIA TRABUCCO,Percorso storico,PERCORSI STORICI,ARTERIE INTERNE PERIFERICHE,MARCIAPIEDE,38.1440548,13.3182606,,64,Parzialmente inaccessibile,Alta,No,18,,,VI,Cruillas - S.Giovanni Apostolo,Cruillas
VS_51,VIA GIUSEPPE PREZZOLINI – VIA NUOVA – VIA DEI QUARTIERI – VIALE DUCA DEGLI ABBRUZZI – VIA MATER DOLOROSA,Percorso storico,PERCORSI STORICI,ARTERIE INTERNE PERIFERICHE,MARCIAPIEDE,38.1594707,13.321139,,44,Parzialmente accessibile,Alta,No,20,,,VI,Resuttana - S.Lorenzo,San Lorenzo
VC_42,VIALE FRANCIA – VIA UGO LA MALFA,Via cittadina,PERCORSI CITTADINI,AREA COMMERCIALE E DIREZIONALE,MARCIAPIEDE,38.1549578,13.3230181,,44,Parzialmente accessibile,Alta,No,15,,,VI,Resuttana - S.Lorenzo,San Lorenzo
U_03,SETTORE SERVIZI ALLE IMPRESE - SUAP,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - SPORTELLO UNICO,,,38.15868366,13.31661228,"Via Ugo la Malfa, 34",66,Parzialmente inaccessibile,Alta,No,5,Accesso compromesso da scale e pendenze; campanello troppo alto; sportello informazioni non accessibile; servizi igienici privi di maniglioni; assenza di percorsi tattili.,SETTORE SERVIZI ALLE IMPRESE - SUAP,VI,Resuttana - S.Lorenzo,San Lorenzo
U_02,SERVIZIO POLIZIA MUNICIPALE,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - COMANDO POLIZIA LOCALE / PUBBL. SICUREZZA,,,38.1609972,13.3134669,"V. Ugo La Malfa, 72",61,Parzialmente accessibile,Alta,No,4,,,VI,Resuttana - S.Lorenzo,San Lorenzo
S_02,SCUOLA BENTIVEGNA,Scuola,SERVIZI PUBBLICI – ISTRUZIONE – SCUOLA DELL’INFANZIA E PRIMARIA,,,38.1608417,13.3275578,"Via San Lorenzo, 85",73,Parzialmente inaccessibile,Alta,No,7,Mancanza di parcheggio rampa; campanello troppo alto; antibagno piccolo; insufficienza maniglioni; assenza percorso tattile; cromatismi non idonei.,SCUOLA BENTIVEGNA,VI,Resuttana - S.Lorenzo,San Lorenzo
AV_03,"GIARDINO PIAZZA NISCEMI, PIAZZA NISCEMI",Area verde,AREE URBANE,AMBITO RESIDENZIALE,PERCORSI INTERNI,38.16304917,13.33291298,"Piazza Niscemi, 20",42,Parzialmente accessibile,Alta,No,9,,,VI,Resuttana - S.Lorenzo,San Lorenzo
U_05,CIRCOSCRIZIONE VI - SPORTELLO POLIFUNZIONALE,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - SPORTELLO POLIFUNZIONALE DI SERVIZI DEMOGRAFICI E AMMINISTRATIVI,,,38.1536772,13.325077,"Via Monte San Calogero, 26/28",58,Parzialmente accessibile,Alta,No,10,,,VI,Resuttana - S.Lorenzo,Resuttana
S_04,SCUOLA MALAGUZZI,Scuola,SERVIZI PUBBLICI – ISTRUZIONE – SCUOLA DELL’INFANZIA,,,38.1483229,13.3287224,"Via Monti Iblei, 49/53",61,Parzialmente accessibile,Alta,No,4,Assenza parcheggio rampa; campanello troppo alto; water non adeguato; assenza pavimentazione tattile; porta non idonea.,SCUOLA MALAGUZZI,VI,Resuttana - S.Lorenzo,Resuttana
S_03,SCUOLA COLLODI,Scuola,SERVIZI PUBBLICI – ISTRUZIONE – SCUOLA DELL’INFANZIA E PRIMARIA,,,38.1515597,13.3322819,"Via Briuccia, 89",62,Parzialmente inaccessibile,Alta,No,7,Campanello troppo alto; assenza maniglione antipanico; water non idoneo; corrimano discontinuo; assenza pavimentazione tattile; porte non idonee.,SCUOLA COLLODI,VI,Resuttana - S.Lorenzo,Resuttana
A_21,NIDO GRILLO PARLANTE,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.1551531,13.3336609,"Via Caduti Senza Croce, 22",62,Parzialmente inaccessibile,Alta,No,4,Rampa che termina su un gradino di 5 cm; citofono non raggiungibile; mancanza di contrasto cromatico su porte e maniglioni; bagni con maniglioni insufficienti; assenza segnaletica per ipovedenti.,NIDO GRILLO PARLANTE,VI,Resuttana - S.Lorenzo,Resuttana
A_04,NIDO MELOGRANO,Asilo,SERVIZI PUBBLICI – ISTRUZIONE – ASILO,,,38.1513195,13.3267831,"Via Monte San Calogero, 10",62,Parzialmente inaccessibile,Alta,No,7,Citofono troppo alto; larghezza corridoi e porte insufficiente; assenza di maniglione antipanico nel bagno; sanitari non idonei; pavimentazione sconnessa.,NIDO MELOGRANO,VI,Resuttana - S.Lorenzo,Resuttana
VC_46,VIA ALCIDE DE GASPERI – VIALE DEL FANTE,Via cittadina,PERCORSI CITTADINI,ASSE RESIDENZIALE,MARCIAPIEDE,38.1504703,13.3359204,,34,Accessibile,Alta,No,16,,,VI,Resuttana - S.Lorenzo,Resuttana
VC_45,VIA SALVATORE ALDISIO – VIA RESUTTANA – VIA CADUTI SENZA CROCE,Via cittadina,PERCORSI CITTADINI,RESIDENZIALE,MARCIAPIEDE,38.1555645,13.3300872,,35,Accessibile,Alta,No,10,,,VI,Resuttana - S.Lorenzo,Resuttana
VC_43,VIA BELGIO – VIA MONTE SAN CALOGERO,Via cittadina,PERCORSI CITTADINI,RESIDENZIALE,MARCIAPIEDE,38.1490574,13.3270326,,39,Parzialmente accessibile,Alta,No,11,,,VI,Resuttana - S.Lorenzo,Resuttana
U_07,POLO TECNICO,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - UFFICIO TECNICO COMUNALE,,,38.1502623,13.3346845,"Via Ausonia, 69",69,Parzialmente inaccessibile,Alta,No,7,Assenza di percorsi tattili; corrimano discontinuo; sportello informazioni troppo alto; servizi igienici con maniglioni insufficienti; presenza di cordoli esterni.,POLO TECNICO,VI,Resuttana - S.Lorenzo,Resuttana
U_06,STADIO COMUNALE R. BARBERA,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - SEDE SPORTIVA PALERMO F.C.,,,38.1525936,13.3418485,"Vle del Fante, 11",67,Parzialmente inaccessibile,Alta,No,7,Segnaletica orizzontale e tattile non a norma; pavimentazione discontinua; percorsi di visita limitati; pendenze eccessive; bagni con ostacoli e soffitto basso.,STADIO COMUNALE R. BARBERA,VI,Resuttana - S.Lorenzo,Resuttana
VS_56,VIA TOMMASO NATALE,Percorso storico,PERCORSI STORICI,ALTA PRESSIONE TURISTICA,MARCIAPIEDE,38.1825964,13.2973162,,41,Parzialmente accessibile,Alta,No,14,,,VII,Tommaso Natale - Sferracavallo,Tommaso Natale - Sant'Ambrogio - Cardillo
VC_20,PIAZZA MANDORLE – VIA PARTANNA MONDELLO – VIA EMILIO SALGARI,Via cittadina,PERCORSI CITTADINI,AREA PERIFERICA,MARCIAPIEDE,38.1881863,13.2890578,,51,Parzialmente accessibile,Alta,No,13,,,VII,Tommaso Natale - Sferracavallo,Tommaso Natale - Sant'Ambrogio - Cardillo
