Codice,Nome/Localizzazione,Gruppo,Categoria,Contesto urbano,Elemento,Latitudine,Longitudine,Indirizzo,Punteggio,Livello accessibilita,Rilevanza,Non valutabile,N. foto rilievo,Criticità Rilevate,Nome Immobile,Circoscrizione,Quartiere,UPL
S_24,SCUOLA ROSOLINO PILO,Scuola,SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA,,,38.10314,13.36443,"Via la Franca Sebastiano, 70",53,Parzialmente accessibile,Alta,No,7,Segnaletica esterna e interna ipovedenti non a norma; campanello assistenza non rispettato; assenza maniglione antipanico; WC non idoneo; barre scala distanti.,SCUOLA ROSOLINO PILO,III,Oreto- Stazione,Oreto Perez
VU_06,CORSO DEI MILLE,Percorso UNESCO,PERCORSI UNESCO,ARTERIA AD ALTO SCORRIMENTO (CENTRO STORICO-PERIFERIA),MARCIAPIEDE,38.1078782,13.3714571,,46,Parzialmente accessibile,Alta,No,15,,,II,Oreto- Stazione,Corso dei Mille - S.Erasmo
VS_20,CORSO DEI MILLE - VIA BRANCACCIO - VIA GERMANESE - VIA BRANCACCIO - VIA CONTE FEDERICO,Percorso storico,PERCORSI STORICI,ASSE PERIFERICO AD ALTO SCORRIMENTO,MARCIAPIEDE,38.1065115,13.3739109,,56,Parzialmente accessibile,Alta,No,19,,,II,Oreto- Stazione,Corso dei Mille - S.Erasmo
VS_04,CORSO DEI MILLE - VIA GARIBALDI - VIA CANTAVESPRI - VIA CAGLIARI - VIA LIVORNO - VIA CALDERAI,Percorso storico,PERCORSI STORICI,VIE INTERNE AD ALTA DENSITÀ,MARCIAPIEDE,38.1065115,13.3739109,,56,Parzialmente accessibile,,No,14,,,II,Oreto- Stazione,Corso dei Mille - S.Erasmo
VC_51,VIA GIAN FILIPPO INGRASSIA,Via cittadina,PERCORSI CITTADINI,AREA RESIDENZIALE SEMICENTRALE A TRAFFICO MEDIO,MARCIAPIEDE,38.1095381,13.3719922,,45,Parzialmente accessibile,Alta,No,9,,,II,Oreto- Stazione,Corso dei Mille - S.Erasmo
SU_07,PONTE AMMIRAGLIO,Sito UNESCO (edificio),SERVIZI PUBBLICI – SITO UNESCO,,,38.10524494,13.37614071,"Corso dei Mille, 399/409",44,Parzialmente accessibile,Alta,No,4,Pavimentazione in acciottolato/selciato non idonea; pendenza eccessiva del monumento e assenza totale di percorsi tattili.,PONTE AMMIRAGLIO,II,Oreto- Stazione,Corso dei Mille - S.Erasmo
S_28,SCUOLA CAVALLARI,Scuola,SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA PRIMARIA,,,38.0989493,13.3901686,"Corso dei Mille, 793",85,Inaccessibile,Alta,No,4,Gravi carenze strutturali; assenza di percorsi e segnaletica tattile; servizi igienici non a norma; collegamenti verticali insufficienti; campanello non accostabile e alzata scala eccessiva.,SCUOLA CAVALLARI,II,Oreto- Stazione,Corso dei Mille - S.Erasmo
U_20,SERVIZI CIMITERIALI,Sede amministrativa/istituzionale,SERVIZI PUBBLICI – UFFICI - UFFICIO AMMINISTRATIVO E GESTIONALE,,,38.1112443,13.3681179,"Via Lincoln, 144",73,Parzialmente inaccessibile,Alta,No,7,"Barriere diffuse nell'accesso; ostacoli metallici lungo i percorsi; citofono troppo alto; ascensore non funzionante; servizi igienici non adeguati (sanitari non idonei, privi di maniglione); assenza di ausili sensoriali.",SERVIZI CIMITERIALI,II,Oreto- Stazione,Corso dei Mille - S.Erasmo
VS_03,VIA LINCOLN,Percorso storico,PERCORSI STORICI,"VIA AD ALTO SCORRIMENTO, AREE VERDI (ORTO BOTANICO)",MARCIAPIEDE,38.11121807,13.36789486,,43,Parzialmente accessibile,,No,15,,,II,Oreto- Stazione,Corso dei Mille - S.Erasmo
S_23,SCUOLA AMARI,Scuola,SERVIZI PUBBLICI – ISTRUZIONE - SCUOLA DELL’INFANZIA E PRIMARIA,,,38.1097304,13.3725762,"Via Gian Filippo Ingrassia, 33",70,Parzialmente inaccessibile,Alta,No,7,Segnaletica esterna non a norma; campanello troppo alto; posizione maniglioni bagno errata; porta servizi senza maniglione antipanico; assenza pavimentazione tattile.,SCUOLA AMARI,II,Oreto- Stazione,Corso dei Mille - S.Erasmo
